epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.045,2.31924,3.8216,1.81619,0.0064,0.37198,0.28245,0.15986,1.61123,3.64136,1.25413,0.00021435,0.00021435,0.00021435
2,258.833,1.67568,2.21656,1.26941,0.95047,0.27536,0.30617,0.20025,1.38994,3.34005,1.13122,0.000355278,0.000355278,0.000355278
3,402.433,1.5263,1.72917,1.17664,1,0.21271,0.34879,0.23971,1.32475,3.02619,1.12741,0.000405665,0.000405665,0.000405665
4,538.318,1.44872,1.53144,1.1452,0.99045,0.32771,0.69252,0.41837,1.28926,2.67991,1.11335,0.00036551,0.00036551,0.00036551
5,670.634,1.36533,1.4069,1.12469,0.95915,0.33665,0.86908,0.5235,1.26572,2.29267,1.10914,0.000234813,0.000234813,0.000234813
1,141.047,2.31924,3.8216,1.81619,0.0064,0.37198,0.28245,0.15986,1.61123,3.64136,1.25413,0.00021435,0.00021435,0.00021435
2,339.331,1.67568,2.21656,1.26941,0.95047,0.27536,0.30617,0.20025,1.38994,3.34005,1.13122,0.000355278,0.000355278,0.000355278
3,482.8,1.5263,1.72917,1.17664,1,0.21271,0.34879,0.23971,1.32475,3.02619,1.12741,0.000405665,0.000405665,0.000405665
4,628.125,1.44872,1.53144,1.1452,0.99045,0.32771,0.69252,0.41837,1.28926,2.67991,1.11335,0.00036551,0.00036551,0.00036551
5,772.909,1.36533,1.4069,1.12469,0.95915,0.33665,0.86908,0.5235,1.26572,2.29267,1.10914,0.000234813,0.000234813,0.000234813
